Categoria,Titulo,Precio,Featured,Link,ASIN
Beauty,La Roche-Posay Toleriane Hydrating Gentle Face Cleanser,14.99,FALSE,https://amzn.to/3ZDwUMt,B01N7T7JKJ
Beauty,SOL DE JANEIRO Rio Radiance Body Spray SPF 50,34.2,FALSE,https://amzn.to/4doeC4U,B0CVCBJFFC
Beauty,"Covergirl Clean Fresh Brow Filler Pomade, 700 Black Brown, Eyebrow Pencil, Ultra-Precise Tip, Creamy Formula, Highly Pigmented, Soft Matte Finish, Vegan Formula, 0.007oz",9.55,FALSE,https://amzn.to/4gH4cAa,B0CKDL54JR
Beauty,"MEIDU Black Hair Dye Shampoo, 500 milliliters (Pack of 1) | Women and Men | Gray Coverage | 30 Days | Natural Ingredients",22.99,FALSE,https://amzn.to/3TJHAVO,B0BZ45SNLR
Beauty,"L'Oreal Paris Makeup True Match Lumi Glotion, Natural Glow Enhancer, Illuminator Highlighter, Bronzing Drops For a Sun-Kissed Glow, 903 Medium",12.22,FALSE,https://amzn.to/3Y0njxN,B074PTZCNX
Beauty,La Roche-Posay Anthelios Light Fluid Facial Sunscreen SPF 60 | Lightweight Sunscreen For Face | Fluid Texture | Broad Spectrum SPF + Antioxidants | Oil Free & Oxybenzone Free | Travel Size 1.7 Fl. Oz.,32.99,FALSE,https://amzn.to/47Lyuhg,B002CML1XE
Beauty,COLOR WOW Dream Coat Supernatural Spray – Keep Your Hair Frizz-Free and Shiny No Matter the Weather with Award-Winning Anti-Humidity Treatment,28,FALSE,https://amzn.to/4dnJuT1,B073CWSQ51
Beauty,"OLLY Sleep Gummy, Occasional Sleep Support, 3 mg Melatonin, L-Theanine, Chamomile, Lemon Balm, Sleep Aid, Strawberry, 60 Count (Pack of 1)",14.62,FALSE,https://amzn.to/4emFeoa,B0BGJXFV4Y
Beauty,Weweya Sandals for Women and Men - Pillow Slippers - Double Buckle Adjustable Slides - EVA Flat Sandals,24.99,FALSE,https://amzn.to/3ZGTALO,B09XXFX4CQ
Beauty,"SASCHA FITNESS Hydrolyzed Whey Protein Isolate,100% Grass-Fed (2 Pounds, Cookies & Cream)",49.99,FALSE,https://amzn.to/3zNz954,B01KY5BQ3A
Home,"Miss Mouth's Messy Eater Stain Treater Spray - 4oz Stain Remover - Newborn & Baby Essentials - No Dry Cleaning Food, Grease, Coffee Off Laundry, Underwear, Fabric",9.99,FALSE,https://amzn.to/3N35ZC7,B01EIG6A4Q
Home,"Vichy LiftActiv B3 Niacinamide Serum, Discoloration Correcting Facial Serum with Peptides and Tranexamic Acid, Anti Aging Serum to Even Skin Tone, Fragrance Free",44.99,FALSE,https://amzn.to/3XY05IO,B09L5SNZ6N
Home,Vichy LiftActiv H.A. Wrinkle Corrector | Hyaluronic Acid Serum For Face | 1.5% Hyaluronic Acid + Vitamin C | Hydrating Serum | Plumping & Firming | Anti Aging Serum For Wrinkles & Fine Lines,44.99,FALSE,https://amzn.to/4gBtHTH,B08N7VY34R
